Ref,Val,Package,PosX,PosY,Rot,Side
"C101","C_Small","C_0201_0603Metric",64.580000,-63.970000,-90.000000,bottom
"C102","C_Small","C_0201_0603Metric",77.080000,-53.230000,90.000000,bottom
"C103","C_Small","C_0201_0603Metric",64.560000,-61.630000,-90.000000,bottom
"C104","C_Small","C_0201_0603Metric",77.070000,-55.735000,-90.000000,bottom
"C105","C_Small","C_0201_0603Metric",64.570000,-58.390000,-90.000000,bottom
"C106","C_Small","C_0201_0603Metric",77.060000,-58.320000,-90.000000,bottom
"C107","C_Small","C_0201_0603Metric",64.570000,-53.585000,90.000000,bottom
"C108","C_Small","C_0201_0603Metric",77.070000,-60.235000,90.000000,bottom
"C109","C_Small","C_0201_0603Metric",78.580000,-63.970000,-90.000000,bottom
"C110","C_Small","C_0201_0603Metric",91.080000,-53.230000,90.000000,bottom
"C111","C_Small","C_0201_0603Metric",78.560000,-61.630000,-90.000000,bottom
"C112","C_Small","C_0201_0603Metric",91.070000,-55.735000,-90.000000,bottom
"C113","C_Small","C_0201_0603Metric",78.570000,-58.390000,-90.000000,bottom
"C114","C_Small","C_0201_0603Metric",91.060000,-58.320000,-90.000000,bottom
"C115","C_Small","C_0201_0603Metric",78.570000,-53.585000,90.000000,bottom
"C116","C_Small","C_0201_0603Metric",91.070000,-60.235000,90.000000,bottom
"C117","C_Small","C_0201_0603Metric",92.580000,-63.970000,-90.000000,bottom
"C118","C_Small","C_0201_0603Metric",105.080000,-53.230000,90.000000,bottom
"C119","C_Small","C_0201_0603Metric",92.560000,-61.630000,-90.000000,bottom
"C120","C_Small","C_0201_0603Metric",105.070000,-55.735000,-90.000000,bottom
"C121","C_Small","C_0201_0603Metric",92.570000,-58.390000,-90.000000,bottom
"C122","C_Small","C_0201_0603Metric",105.060000,-58.320000,-90.000000,bottom
"C123","C_Small","C_0201_0603Metric",92.570000,-53.585000,90.000000,bottom
"C124","C_Small","C_0201_0603Metric",105.070000,-60.235000,90.000000,bottom
"C125","C_Small","C_0201_0603Metric",106.580000,-63.970000,-90.000000,bottom
"C126","C_Small","C_0201_0603Metric",119.080000,-53.230000,90.000000,bottom
"C127","C_Small","C_0201_0603Metric",106.560000,-61.630000,-90.000000,bottom
"C128","C_Small","C_0201_0603Metric",119.070000,-55.735000,-90.000000,bottom
"C129","C_Small","C_0201_0603Metric",106.570000,-58.390000,-90.000000,bottom
"C130","C_Small","C_0201_0603Metric",119.060000,-58.320000,-90.000000,bottom
"C131","C_Small","C_0201_0603Metric",106.570000,-53.585000,90.000000,bottom
"C132","C_Small","C_0201_0603Metric",119.070000,-60.235000,90.000000,bottom
"C133","C_Small","C_0201_0603Metric",120.580000,-63.970000,-90.000000,bottom
"C134","C_Small","C_0201_0603Metric",133.080000,-53.230000,90.000000,bottom
"C135","C_Small","C_0201_0603Metric",120.560000,-61.630000,-90.000000,bottom
"C136","C_Small","C_0201_0603Metric",133.070000,-55.735000,-90.000000,bottom
"C137","C_Small","C_0201_0603Metric",120.570000,-58.390000,-90.000000,bottom
"C138","C_Small","C_0201_0603Metric",133.060000,-58.320000,-90.000000,bottom
"C139","C_Small","C_0201_0603Metric",120.570000,-53.585000,90.000000,bottom
"C140","C_Small","C_0201_0603Metric",133.070000,-60.235000,90.000000,bottom
"C141","C_Small","C_0201_0603Metric",64.580000,-79.970000,-90.000000,bottom
"C142","C_Small","C_0201_0603Metric",77.080000,-69.230000,90.000000,bottom
"C143","C_Small","C_0201_0603Metric",64.560000,-77.630000,-90.000000,bottom
"C144","C_Small","C_0201_0603Metric",77.070000,-71.735000,-90.000000,bottom
"C145","C_Small","C_0201_0603Metric",64.570000,-74.390000,-90.000000,bottom
"C146","C_Small","C_0201_0603Metric",77.060000,-74.320000,-90.000000,bottom
"C147","C_Small","C_0201_0603Metric",64.570000,-69.585000,90.000000,bottom
"C148","C_Small","C_0201_0603Metric",77.070000,-76.235000,90.000000,bottom
"C149","C_Small","C_0201_0603Metric",78.580000,-79.970000,-90.000000,bottom
"C150","C_Small","C_0201_0603Metric",91.080000,-69.230000,90.000000,bottom
"C151","C_Small","C_0201_0603Metric",78.560000,-77.630000,-90.000000,bottom
"C152","C_Small","C_0201_0603Metric",91.070000,-71.735000,-90.000000,bottom
"C153","C_Small","C_0201_0603Metric",78.570000,-74.390000,-90.000000,bottom
"C154","C_Small","C_0201_0603Metric",91.060000,-74.320000,-90.000000,bottom
"C155","C_Small","C_0201_0603Metric",78.570000,-69.585000,90.000000,bottom
"C156","C_Small","C_0201_0603Metric",91.070000,-76.235000,90.000000,bottom
"C157","C_Small","C_0201_0603Metric",92.580000,-79.970000,-90.000000,bottom
"C158","C_Small","C_0201_0603Metric",105.080000,-69.230000,90.000000,bottom
"C159","C_Small","C_0201_0603Metric",92.560000,-77.630000,-90.000000,bottom
