Designator,Mid X,Mid Y,Rotation,Layer
C101,0.76,-13.58,270.0,bottom
C102,13.26,-2.84,90.0,bottom
C103,0.74,-11.24,270.0,bottom
C104,13.25,-5.345,270.0,bottom
C105,0.75,-8.0,270.0,bottom
C106,13.24,-7.93,270.0,bottom
C107,0.75,-3.195,90.0,bottom
C108,13.25,-9.845,90.0,bottom
C109,14.76,-13.58,270.0,bottom
C110,27.26,-2.84,90.0,bottom
C111,14.74,-11.24,270.0,bottom
C112,27.25,-5.345,270.0,bottom
C113,14.75,-8.0,270.0,bottom
C114,27.24,-7.93,270.0,bottom
C115,14.75,-3.195,90.0,bottom
C116,27.25,-9.845,90.0,bottom
C117,28.76,-13.58,270.0,bottom
C118,41.26,-2.84,90.0,bottom
C119,28.74,-11.24,270.0,bottom
C120,41.25,-5.345,270.0,bottom
C121,28.75,-8.0,270.0,bottom
C122,41.24,-7.93,270.0,bottom
C123,28.75,-3.195,90.0,bottom
C124,41.25,-9.845,90.0,bottom
C125,42.76,-13.58,270.0,bottom
C126,55.26,-2.84,90.0,bottom
C127,42.74,-11.24,270.0,bottom
C128,55.25,-5.345,270.0,bottom
C129,42.75,-8.0,270.0,bottom
C130,55.24,-7.93,270.0,bottom
C131,42.75,-3.195,90.0,bottom
C132,55.25,-9.845,90.0,bottom
C133,56.76,-13.58,270.0,bottom
C134,69.26,-2.84,90.0,bottom
C135,56.74,-11.24,270.0,bottom
C136,69.25,-5.345,270.0,bottom
C137,56.75,-8.0,270.0,bottom
C138,69.24,-7.93,270.0,bottom
C139,56.75,-3.195,90.0,bottom
C140,69.25,-9.845,90.0,bottom
C141,0.76,-29.58,270.0,bottom
C142,13.26,-18.84,90.0,bottom
C143,0.74,-27.24,270.0,bottom
C144,13.25,-21.345,270.0,bottom
C145,0.75,-24.0,270.0,bottom
C146,13.24,-23.93,270.0,bottom
C147,0.75,-19.195,90.0,bottom
C148,13.25,-25.845,90.0,bottom
C149,14.76,-29.58,270.0,bottom
C150,27.26,-18.84,90.0,bottom
C151,14.74,-27.24,270.0,bottom
C152,27.25,-21.345,270.0,bottom
C153,14.75,-24.0,270.0,bottom
C154,27.24,-23.93,270.0,bottom
C155,14.75,-19.195,90.0,bottom
C156,27.25,-25.845,90.0,bottom
C157,28.76,-29.58,270.0,bottom
C158,41.26,-18.84,90.0,bottom
C159,28.74,-27.24,270.0,bottom
C160,41.25,-21.345,270.0,bottom
C161,28.75,-24.0,270.0,bottom
C162,41.24,-23.93,270.0,bottom
C163,28.75,-19.195,90.0,bottom
C164,41.25,-25.845,90.0,bottom
C165,42.76,-29.58,270.0,bottom
C166,55.26,-18.84,90.0,bottom
C167,42.74,-27.24,270.0,bottom
C168,55.25,-21.345,270.0,bottom
C169,42.75,-24.0,270.0,bottom
C170,55.24,-23.93,270.0,bottom
C171,42.75,-19.195,90.0,bottom
C172,55.25,-25.845,90.0,bottom
C173,56.76,-29.58,270.0,bottom
C174,69.26,-18.84,90.0,bottom
C175,56.74,-27.24,270.0,bottom
C176,69.25,-21.345,270.0,bottom
C177,56.75,-24.0,270.0,bottom
C178,69.24,-23.93,270.0,bottom
C179,56.75,-19.195,90.0,bottom
C180,69.25,-25.845,90.0,bottom
C181,0.76,-45.58,270.0,bottom
C182,13.26,-34.84,90.0,bottom
C183,0.74,-43.24,270.0,bottom
C184,13.25,-37.345,270.0,bottom
C185,0.75,-40.0,270.0,bottom
C186,13.24,-39.93,270.0,bottom
C187,0.75,-35.195,90.0,bottom
C188,13.25,-41.845,90.0,bottom
C189,14.76,-45.58,270.0,bottom
C190,27.26,-34.84,90.0,bottom
C191,14.74,-43.24,270.0,bottom
C192,27.25,-37.345,270.0,bottom
C193,14.75,-40.0,270.0,bottom
C194,27.24,-39.93,270.0,bottom
C195,14.75,-35.195,90.0,bottom
C196,27.25,-41.845,90.0,bottom
C197,28.76,-45.58,270.0,bottom
C198,41.26,-34.84,90.0,bottom
C199,28.74,-43.24,270.0,bottom
C200,41.25,-37.345,270.0,bottom
C201,28.75,-40.0,270.0,bottom
C202,41.24,-39.93,270.0,bottom
C203,28.75,-35.195,90.0,bottom
C204,41.25,-41.845,90.0,bottom
C205,42.76,-45.58,270.0,bottom
C206,55.26,-34.84,90.0,bottom
C207,42.74,-43.24,270.0,bottom
C208,55.25,-37.345,270.0,bottom
C209,42.75,-40.0,270.0,bottom
C210,55.24,-39.93,270.0,bottom
C211,42.75,-35.195,90.0,bottom
C212,55.25,-41.845,90.0,bottom
C213,56.76,-45.58,270.0,bottom
C214,69.26,-34.84,90.0,bottom
C215,56.74,-43.24,270.0,bottom
C216,69.25,-37.345,270.0,bottom
C217,56.75,-40.0,270.0,bottom
C218,69.24,-39.93,270.0,bottom
C219,56.75,-35.195,90.0,bottom
C220,69.25,-41.845,90.0,bottom
C221,0.76,-61.58,270.0,bottom
C222,13.26,-50.84,90.0,bottom
C223,0.74,-59.24,270.0,bottom
C224,13.25,-53.345,270.0,bottom
C225,0.75,-56.0,270.0,bottom
C226,13.24,-55.93,270.0,bottom
C227,0.75,-51.195,90.0,bottom
C228,13.25,-57.845,90.0,bottom
C229,14.76,-61.58,270.0,bottom
C230,27.26,-50.84,90.0,bottom
C231,14.74,-59.24,270.0,bottom
C232,27.25,-53.345,270.0,bottom
C233,14.75,-56.0,270.0,bottom
C234,27.24,-55.93,270.0,bottom
C235,14.75,-51.195,90.0,bottom
C236,27.25,-57.845,90.0,bottom
C237,28.76,-61.58,270.0,bottom
C238,41.26,-50.84,90.0,bottom
C239,28.74,-59.24,270.0,bottom
C240,41.25,-53.345,270.0,bottom
C241,28.75,-56.0,270.0,bottom
C242,41.24,-55.93,270.0,bottom
C243,28.75,-51.195,90.0,bottom
C244,41.25,-57.845,90.0,bottom
C245,42.76,-61.58,270.0,bottom
C246,55.26,-50.84,90.0,bottom
C247,42.74,-59.24,270.0,bottom
C248,55.25,-53.345,270.0,bottom
C249,42.75,-56.0,270.0,bottom
C250,55.24,-55.93,270.0,bottom
C251,42.75,-51.195,90.0,bottom
C252,55.25,-57.845,90.0,bottom
C253,56.76,-61.58,270.0,bottom
C254,69.26,-50.84,90.0,bottom
C255,56.74,-59.24,270.0,bottom
C256,69.25,-53.345,270.0,bottom
C257,56.75,-56.0,270.0,bottom
C258,69.24,-55.93,270.0,bottom
C259,56.75,-51.195,90.0,bottom
C260,69.25,-57.845,90.0,bottom
U101,7.01,-8.005,270.0,bottom
U103,21.01,-8.005,270.0,bottom
U105,35.01,-8.005,270.0,bottom
U107,49.01,-8.005,270.0,bottom
U109,63.01,-8.005,270.0,bottom
U111,7.01,-24.005,270.0,bottom
U113,21.01,-24.005,270.0,bottom
U115,35.01,-24.005,270.0,bottom
U117,49.01,-24.005,270.0,bottom
U119,63.01,-24.005,270.0,bottom
U121,7.01,-40.005,270.0,bottom
U123,21.01,-40.005,270.0,bottom
U125,35.01,-40.005,270.0,bottom
U127,49.01,-40.005,270.0,bottom
U129,63.01,-40.005,270.0,bottom
U131,7.01,-56.005,270.0,bottom
U133,21.01,-56.005,270.0,bottom
U135,35.01,-56.005,270.0,bottom
U137,49.01,-56.005,270.0,bottom
U139,63.01,-56.005,270.0,bottom
