Ref,Val,Package,PosX,PosY,Rot,Side
"C101","1uF","C_0201_0603Metric",64.580000,-63.970000,-90.000000,bottom
"C102","1uF","C_0201_0603Metric",77.080000,-53.230000,90.000000,bottom
"C103","1uF","C_0201_0603Metric",64.560000,-61.630000,-90.000000,bottom
"C104","1uF","C_0201_0603Metric",77.070000,-55.735000,-90.000000,bottom
"C105","1uF","C_0201_0603Metric",64.570000,-58.390000,-90.000000,bottom
"C106","1uF","C_0201_0603Metric",77.060000,-58.320000,-90.000000,bottom
"C107","1uF","C_0201_0603Metric",64.570000,-53.585000,90.000000,bottom
"C108","1uF","C_0201_0603Metric",77.070000,-60.235000,90.000000,bottom
"C109","1uF","C_0201_0603Metric",78.580000,-63.970000,-90.000000,bottom
"C110","1uF","C_0201_0603Metric",91.080000,-53.230000,90.000000,bottom
"C111","1uF","C_0201_0603Metric",78.560000,-61.630000,-90.000000,bottom
"C112","1uF","C_0201_0603Metric",91.070000,-55.735000,-90.000000,bottom
"C113","1uF","C_0201_0603Metric",78.570000,-58.390000,-90.000000,bottom
"C114","1uF","C_0201_0603Metric",91.060000,-58.320000,-90.000000,bottom
"C115","1uF","C_0201_0603Metric",78.570000,-53.585000,90.000000,bottom
"C116","1uF","C_0201_0603Metric",91.070000,-60.235000,90.000000,bottom
"C117","1uF","C_0201_0603Metric",92.580000,-63.970000,-90.000000,bottom
"C118","1uF","C_0201_0603Metric",105.080000,-53.230000,90.000000,bottom
"C119","1uF","C_0201_0603Metric",92.560000,-61.630000,-90.000000,bottom
"C120","1uF","C_0201_0603Metric",105.070000,-55.735000,-90.000000,bottom
"C121","1uF","C_0201_0603Metric",92.570000,-58.390000,-90.000000,bottom
"C122","1uF","C_0201_0603Metric",105.060000,-58.320000,-90.000000,bottom
"C123","1uF","C_0201_0603Metric",92.570000,-53.585000,90.000000,bottom
"C124","1uF","C_0201_0603Metric",105.070000,-60.235000,90.000000,bottom
"C125","1uF","C_0201_0603Metric",106.580000,-63.970000,-90.000000,bottom
"C126","1uF","C_0201_0603Metric",119.080000,-53.230000,90.000000,bottom
"C127","1uF","C_0201_0603Metric",106.560000,-61.630000,-90.000000,bottom
"C128","1uF","C_0201_0603Metric",119.070000,-55.735000,-90.000000,bottom
"C129","1uF","C_0201_0603Metric",106.570000,-58.390000,-90.000000,bottom
"C130","1uF","C_0201_0603Metric",119.060000,-58.320000,-90.000000,bottom
"C131","1uF","C_0201_0603Metric",106.570000,-53.585000,90.000000,bottom
"C132","1uF","C_0201_0603Metric",119.070000,-60.235000,90.000000,bottom
"C133","1uF","C_0201_0603Metric",120.580000,-63.970000,-90.000000,bottom
"C134","1uF","C_0201_0603Metric",133.080000,-53.230000,90.000000,bottom
"C135","1uF","C_0201_0603Metric",120.560000,-61.630000,-90.000000,bottom
"C136","1uF","C_0201_0603Metric",133.070000,-55.735000,-90.000000,bottom
"C137","1uF","C_0201_0603Metric",120.570000,-58.390000,-90.000000,bottom
"C138","1uF","C_0201_0603Metric",133.060000,-58.320000,-90.000000,bottom
"C139","1uF","C_0201_0603Metric",120.570000,-53.585000,90.000000,bottom
"C140","1uF","C_0201_0603Metric",133.070000,-60.235000,90.000000,bottom
"C141","1uF","C_0201_0603Metric",64.580000,-79.970000,-90.000000,bottom
"C142","1uF","C_0201_0603Metric",77.080000,-69.230000,90.000000,bottom
"C143","1uF","C_0201_0603Metric",64.560000,-77.630000,-90.000000,bottom
"C144","1uF","C_0201_0603Metric",77.070000,-71.735000,-90.000000,bottom
"C145","1uF","C_0201_0603Metric",64.570000,-74.390000,-90.000000,bottom
"C146","1uF","C_0201_0603Metric",77.060000,-74.320000,-90.000000,bottom
"C147","1uF","C_0201_0603Metric",64.570000,-69.585000,90.000000,bottom
"C148","1uF","C_0201_0603Metric",77.070000,-76.235000,90.000000,bottom
"C149","1uF","C_0201_0603Metric",78.580000,-79.970000,-90.000000,bottom
"C150","1uF","C_0201_0603Metric",91.080000,-69.230000,90.000000,bottom
"C151","1uF","C_0201_0603Metric",78.560000,-77.630000,-90.000000,bottom
"C152","1uF","C_0201_0603Metric",91.070000,-71.735000,-90.000000,bottom
"C153","1uF","C_0201_0603Metric",78.570000,-74.390000,-90.000000,bottom
"C154","1uF","C_0201_0603Metric",91.060000,-74.320000,-90.000000,bottom
"C155","1uF","C_0201_0603Metric",78.570000,-69.585000,90.000000,bottom
"C156","1uF","C_0201_0603Metric",91.070000,-76.235000,90.000000,bottom
"C157","1uF","C_0201_0603Metric",92.580000,-79.970000,-90.000000,bottom
"C158","1uF","C_0201_0603Metric",105.080000,-69.230000,90.000000,bottom
"C159","1uF","C_0201_0603Metric",92.560000,-77.630000,-90.000000,bottom
"C160","1uF","C_0201_0603Metric",105.070000,-71.735000,-90.000000,bottom
"C161","1uF","C_0201_0603Metric",92.570000,-74.390000,-90.000000,bottom
"C162","1uF","C_0201_0603Metric",105.060000,-74.320000,-90.000000,bottom
"C163","1uF","C_0201_0603Metric",92.570000,-69.585000,90.000000,bottom
"C164","1uF","C_0201_0603Metric",105.070000,-76.235000,90.000000,bottom
"C165","1uF","C_0201_0603Metric",106.580000,-79.970000,-90.000000,bottom
"C166","1uF","C_0201_0603Metric",119.080000,-69.230000,90.000000,bottom
"C167","1uF","C_0201_0603Metric",106.560000,-77.630000,-90.000000,bottom
"C168","1uF","C_0201_0603Metric",119.070000,-71.735000,-90.000000,bottom
"C169","1uF","C_0201_0603Metric",106.570000,-74.390000,-90.000000,bottom
"C170","1uF","C_0201_0603Metric",119.060000,-74.320000,-90.000000,bottom
"C171","1uF","C_0201_0603Metric",106.570000,-69.585000,90.000000,bottom
"C172","1uF","C_0201_0603Metric",119.070000,-76.235000,90.000000,bottom
"C173","1uF","C_0201_0603Metric",120.580000,-79.970000,-90.000000,bottom
"C174","1uF","C_0201_0603Metric",133.080000,-69.230000,90.000000,bottom
"C175","1uF","C_0201_0603Metric",120.560000,-77.630000,-90.000000,bottom
"C176","1uF","C_0201_0603Metric",133.070000,-71.735000,-90.000000,bottom
"C177","1uF","C_0201_0603Metric",120.570000,-74.390000,-90.000000,bottom
"C178","1uF","C_0201_0603Metric",133.060000,-74.320000,-90.000000,bottom
"C179","1uF","C_0201_0603Metric",120.570000,-69.585000,90.000000,bottom
"C180","1uF","C_0201_0603Metric",133.070000,-76.235000,90.000000,bottom
"C181","1uF","C_0201_0603Metric",64.580000,-95.970000,-90.000000,bottom
