Ref,Val,Package,PosX,PosY,Rot,Side
"U102","~","waferspace_default_padring_v0.2",70.820000,-58.425000,0.000000,top
"U104","~","waferspace_default_padring_v0.2",84.820000,-58.425000,0.000000,top
"U106","~","waferspace_default_padring_v0.2",98.820000,-58.425000,0.000000,top
"U108","~","waferspace_default_padring_v0.2",112.820000,-58.425000,0.000000,top
"U110","~","waferspace_default_padring_v0.2",126.820000,-58.425000,0.000000,top
"U112","~","waferspace_default_padring_v0.2",70.820000,-74.425000,0.000000,top
"U114","~","waferspace_default_padring_v0.2",84.820000,-74.425000,0.000000,top
"U116","~","waferspace_default_padring_v0.2",98.820000,-74.425000,0.000000,top
"U118","~","waferspace_default_padring_v0.2",112.820000,-74.425000,0.000000,top
"U120","~","waferspace_default_padring_v0.2",126.820000,-74.425000,0.000000,top
"U122","~","waferspace_default_padring_v0.2",70.820000,-90.425000,0.000000,top
"U124","~","waferspace_default_padring_v0.2",84.820000,-90.425000,0.000000,top
"U126","~","waferspace_default_padring_v0.2",98.820000,-90.425000,0.000000,top
"U128","~","waferspace_default_padring_v0.2",112.820000,-90.425000,0.000000,top
"U130","~","waferspace_default_padring_v0.2",126.820000,-90.425000,0.000000,top
"U132","~","waferspace_default_padring_v0.2",70.820000,-106.425000,0.000000,top
"U134","~","waferspace_default_padring_v0.2",84.820000,-106.425000,0.000000,top
"U136","~","waferspace_default_padring_v0.2",98.820000,-106.425000,0.000000,top
"U138","~","waferspace_default_padring_v0.2",112.820000,-106.425000,0.000000,top
"U140","~","waferspace_default_padring_v0.2",126.820000,-106.425000,0.000000,top
