Designator,Mid X,Mid Y,Rotation,Layer
C101_2,0.76,-51.58,270.0,bottom
C101,0.76,-13.58,270.0,bottom
C102_2,13.26,-40.84,90.0,bottom
C102,13.26,-2.84,90.0,bottom
C103_2,0.74,-49.24,270.0,bottom
C103,0.74,-11.24,270.0,bottom
C104_2,13.25,-43.345,270.0,bottom
C104,13.25,-5.345,270.0,bottom
C105_2,0.75,-46.0,270.0,bottom
C105,0.75,-8.0,270.0,bottom
C106_2,13.24,-45.93,270.0,bottom
C106,13.24,-7.93,270.0,bottom
C107_2,0.75,-41.195,90.0,bottom
C107,0.75,-3.195,90.0,bottom
C108_2,13.25,-47.845,90.0,bottom
C108,13.25,-9.845,90.0,bottom
C109_2,14.76,-51.58,270.0,bottom
C109,14.76,-13.58,270.0,bottom
C110_2,27.26,-40.84,90.0,bottom
C110,27.26,-2.84,90.0,bottom
C111_2,14.74,-49.24,270.0,bottom
C111,14.74,-11.24,270.0,bottom
C112_2,27.25,-43.345,270.0,bottom
C112,27.25,-5.345,270.0,bottom
C113_2,14.75,-46.0,270.0,bottom
C113,14.75,-8.0,270.0,bottom
C114_2,27.24,-45.93,270.0,bottom
C114,27.24,-7.93,270.0,bottom
C115_2,14.75,-41.195,90.0,bottom
C115,14.75,-3.195,90.0,bottom
C116_2,27.25,-47.845,90.0,bottom
C116,27.25,-9.845,90.0,bottom
C117_2,28.76,-51.58,270.0,bottom
C117,28.76,-13.58,270.0,bottom
C118_2,41.26,-40.84,90.0,bottom
C118,41.26,-2.84,90.0,bottom
C119_2,28.74,-49.24,270.0,bottom
C119,28.74,-11.24,270.0,bottom
C120_2,41.25,-43.345,270.0,bottom
C120,41.25,-5.345,270.0,bottom
C121_2,28.75,-46.0,270.0,bottom
C121,28.75,-8.0,270.0,bottom
C122_2,41.24,-45.93,270.0,bottom
C122,41.24,-7.93,270.0,bottom
C123_2,28.75,-41.195,90.0,bottom
C123,28.75,-3.195,90.0,bottom
C124_2,41.25,-47.845,90.0,bottom
C124,41.25,-9.845,90.0,bottom
C125_2,42.76,-51.58,270.0,bottom
C125,42.76,-13.58,270.0,bottom
C126_2,55.26,-40.84,90.0,bottom
C126,55.26,-2.84,90.0,bottom
C127_2,42.74,-49.24,270.0,bottom
C127,42.74,-11.24,270.0,bottom
C128_2,55.25,-43.345,270.0,bottom
C128,55.25,-5.345,270.0,bottom
C129_2,42.75,-46.0,270.0,bottom
C129,42.75,-8.0,270.0,bottom
C130_2,55.24,-45.93,270.0,bottom
C130,55.24,-7.93,270.0,bottom
C131_2,42.75,-41.195,90.0,bottom
C131,42.75,-3.195,90.0,bottom
C132_2,55.25,-47.845,90.0,bottom
C132,55.25,-9.845,90.0,bottom
C133_2,56.76,-51.58,270.0,bottom
C133,56.76,-13.58,270.0,bottom
C134_2,69.26,-40.84,90.0,bottom
C134,69.26,-2.84,90.0,bottom
C135_2,56.74,-49.24,270.0,bottom
C135,56.74,-11.24,270.0,bottom
C136_2,69.25,-43.345,270.0,bottom
C136,69.25,-5.345,270.0,bottom
C137_2,56.75,-46.0,270.0,bottom
C137,56.75,-8.0,270.0,bottom
