Designator,Mid X,Mid Y,Rotation,Layer
C101_2,1.24,-10.18,270.0,bottom
C101,1.24,-48.18,270.0,bottom
C102_2,12.15,-3.935,90.0,bottom
C102,12.15,-41.935,90.0,bottom
C103_2,15.24,-10.18,270.0,bottom
C103,15.24,-48.18,270.0,bottom
C104_2,13.1,-10.28,270.0,bottom
C104,13.1,-48.28,270.0,bottom
C105_2,26.15,-3.935,90.0,bottom
C105,26.15,-41.935,90.0,bottom
C106_2,27.1,-10.28,270.0,bottom
C106,27.1,-48.28,270.0,bottom
C107_2,29.24,-10.18,270.0,bottom
C107,29.24,-48.18,270.0,bottom
C108_2,1.82,-13.51,90.0,bottom
C108,1.82,-51.51,90.0,bottom
C109_2,15.82,-13.51,90.0,bottom
C109,15.82,-51.51,90.0,bottom
C110_2,40.15,-3.935,90.0,bottom
C110,40.15,-41.935,90.0,bottom
C111_2,41.1,-10.28,270.0,bottom
C111,41.1,-48.28,270.0,bottom
C112_2,29.82,-13.51,90.0,bottom
C112,29.82,-51.51,90.0,bottom
C113_2,43.24,-10.18,270.0,bottom
C113,43.24,-48.18,270.0,bottom
C114_2,54.15,-3.935,90.0,bottom
C114,54.15,-41.935,90.0,bottom
C115_2,55.1,-10.28,270.0,bottom
C115,55.1,-48.28,270.0,bottom
C116_2,43.82,-13.51,90.0,bottom
C116,43.82,-51.51,90.0,bottom
C117_2,57.24,-10.18,270.0,bottom
C117,57.24,-48.18,270.0,bottom
C118_2,68.15,-3.935,90.0,bottom
C118,68.15,-41.935,90.0,bottom
C119_2,69.1,-10.28,270.0,bottom
C119,69.1,-48.28,270.0,bottom
C120_2,57.82,-13.51,90.0,bottom
C120,57.82,-51.51,90.0,bottom
C121_2,1.24,-26.18,270.0,bottom
C121,1.24,-64.18,270.0,bottom
C122_2,12.15,-19.935,90.0,bottom
C122,12.15,-57.935,90.0,bottom
C123_2,13.1,-26.28,270.0,bottom
C123,13.1,-64.28,270.0,bottom
C124_2,1.82,-29.51,90.0,bottom
C124,1.82,-67.51,90.0,bottom
C125_2,15.24,-26.18,270.0,bottom
C125,15.24,-64.18,270.0,bottom
C126_2,26.15,-19.935,90.0,bottom
C126,26.15,-57.935,90.0,bottom
C127_2,27.1,-26.28,270.0,bottom
C127,27.1,-64.28,270.0,bottom
C128_2,15.82,-29.51,90.0,bottom
C128,15.82,-67.51,90.0,bottom
C129_2,29.24,-26.18,270.0,bottom
C129,29.24,-64.18,270.0,bottom
C130_2,40.15,-19.935,90.0,bottom
C130,40.15,-57.935,90.0,bottom
C131_2,41.1,-26.28,270.0,bottom
C131,41.1,-64.28,270.0,bottom
C132_2,29.82,-29.51,90.0,bottom
C132,29.82,-67.51,90.0,bottom
C133_2,43.24,-26.18,270.0,bottom
C133,43.24,-64.18,270.0,bottom
C134_2,54.15,-19.935,90.0,bottom
C134,54.15,-57.935,90.0,bottom
C135_2,55.1,-26.28,270.0,bottom
C135,55.1,-64.28,270.0,bottom
C136_2,43.82,-29.51,90.0,bottom
C136,43.82,-67.51,90.0,bottom
C137_2,57.24,-26.18,270.0,bottom
C137,57.24,-64.18,270.0,bottom
C138_2,68.15,-19.935,90.0,bottom
C138,68.15,-57.935,90.0,bottom
C139_2,69.1,-26.28,270.0,bottom
C139,69.1,-64.28,270.0,bottom
C140_2,57.82,-29.51,90.0,bottom
C140,57.82,-67.51,90.0,bottom
U101_2,7.01,-8.005,270.0,bottom
U101,7.01,-46.005,270.0,bottom
U102_2,7.0,-8.035,0.0,top
U102,7.0,-46.035,0.0,top
U103_2,21.01,-8.005,270.0,bottom
U103,21.01,-46.005,270.0,bottom
U104_2,21.0,-8.035,0.0,top
U104,21.0,-46.035,0.0,top
U105_2,35.01,-8.005,270.0,bottom
U105,35.01,-46.005,270.0,bottom
U106_2,35.0,-8.035,0.0,top
U106,35.0,-46.035,0.0,top
U107_2,49.01,-8.005,270.0,bottom
U107,49.01,-46.005,270.0,bottom
U108_2,49.0,-8.035,0.0,top
U108,49.0,-46.035,0.0,top
U109_2,63.01,-8.005,270.0,bottom
U109,63.01,-46.005,270.0,bottom
U110_2,63.0,-8.035,0.0,top
U110,63.0,-46.035,0.0,top
U111_2,7.01,-24.005,270.0,bottom
U111,7.01,-62.005,270.0,bottom
U112_2,7.0,-24.035,0.0,top
U112,7.0,-62.035,0.0,top
U113_2,21.01,-24.005,270.0,bottom
U113,21.01,-62.005,270.0,bottom
U114_2,21.0,-24.035,0.0,top
U114,21.0,-62.035,0.0,top
U115_2,35.01,-24.005,270.0,bottom
U115,35.01,-62.005,270.0,bottom
U116_2,35.0,-24.035,0.0,top
U116,35.0,-62.035,0.0,top
U117_2,49.01,-24.005,270.0,bottom
U117,49.01,-62.005,270.0,bottom
U118_2,49.0,-24.035,0.0,top
U118,49.0,-62.035,0.0,top
U119_2,63.01,-24.005,270.0,bottom
U119,63.01,-62.005,270.0,bottom
U120_2,63.0,-24.035,0.0,top
U120,63.0,-62.035,0.0,top
